gamehash,team,bank,loadout
460241be-9cfb-4b72-a230-52d3b19d66e3,A,7741,18025
460241be-9cfb-4b72-a230-52d3b19d66e3,B,6395,17002
44d34c86-154d-43d2-96c6-42e4cd7d6a5c,A,6068,9632
44d34c86-154d-43d2-96c6-42e4cd7d6a5c,B,2207,6814
40abcc88-8a87-4464-aa75-db0521b43c0a,A,15617,17173
40abcc88-8a87-4464-aa75-db0521b43c0a,B,3197,11720
fa957444-e525-4277-a0f3-178e3d7a2e49,A,12970,18713
fa957444-e525-4277-a0f3-178e3d7a2e49,B,6110,16733
d05b4dbc-799a-4a24-b449-f95be2cb9473,A,5061,18709
d05b4dbc-799a-4a24-b449-f95be2cb9473,B,12350,20059
6c0b7fb2-16cd-4e51-8210-9f1e734f6975,A,6959,17225
6c0b7fb2-16cd-4e51-8210-9f1e734f6975,B,12173,19889
f77bd311-3370-416f-9cd2-16f3321d0e9b,A,9675,19328
f77bd311-3370-416f-9cd2-16f3321d0e9b,B,7043,16990
3131e3a6-3f7a-4d02-b17e-28290f515c8c,A,6477,17005
3131e3a6-3f7a-4d02-b17e-28290f515c8c,B,8673,19348
ffd07e93-44fa-4eaf-a488-750cf743f8db,A,10206,19106
ffd07e93-44fa-4eaf-a488-750cf743f8db,B,5839,16839
b9669dba-c2ca-4bed-82ab-6976e7536c8b,A,6171,18696
b9669dba-c2ca-4bed-82ab-6976e7536c8b,B,11821,20785
bd0fe8a7-c590-4836-9f59-2fbad425a88c,A,9706,17576
bd0fe8a7-c590-4836-9f59-2fbad425a88c,B,5476,15426
1a72ebae-7bc9-438c-ac50-b8e1d1d19229,A,12545,19514
1a72ebae-7bc9-438c-ac50-b8e1d1d19229,B,6595,16995
f6237f25-eb70-4da1-8ef0-723adf77a1d3,A,13093,18861
f6237f25-eb70-4da1-8ef0-723adf77a1d3,B,5593,16923
b74dc115-fbe1-4f9c-93e5-8d3fecfb25fa,A,6174,16783
b74dc115-fbe1-4f9c-93e5-8d3fecfb25fa,B,14195,17910
cdb348d7-442e-45b5-ae18-f5e7cd84160b,A,5721,18102
cdb348d7-442e-45b5-ae18-f5e7cd84160b,B,10208,19550
a8d77214-705d-4f28-9510-06d1dc1c8254,A,16250,18825
a8d77214-705d-4f28-9510-06d1dc1c8254,B,3781,15381
ea4e2f6b-99f9-4c91-b079-684d00babef1,A,6591,18968
ea4e2f6b-99f9-4c91-b079-684d00babef1,B,10236,18705
ed3fdd51-71e4-4d21-a941-eb73cbfc3077,A,12770,17133
ed3fdd51-71e4-4d21-a941-eb73cbfc3077,B,10763,17252
ef039731-67d9-4770-abd6-5f87010045e4,A,15432,18732
ef039731-67d9-4770-abd6-5f87010045e4,B,5394,14782
ba7bddb9-85c1-4686-811f-6372d6f152c8,A,9464,17976
ba7bddb9-85c1-4686-811f-6372d6f152c8,B,6390,16976
d8518c71-4303-4284-8c04-8c49b7dee05a,A,13047,19308
d8518c71-4303-4284-8c04-8c49b7dee05a,B,4678,15992
3be504f7-15b5-4780-9e23-cafa0b458865,A,12439,17728
3be504f7-15b5-4780-9e23-cafa0b458865,B,5642,15444
2bdbaf73-7a22-45f0-b48a-ea2d20e7b514,A,5413,17402
2bdbaf73-7a22-45f0-b48a-ea2d20e7b514,B,11333,18935
c934c322-0a39-4280-9c1d-e28bc7094c5f,A,6537,15968
c934c322-0a39-4280-9c1d-e28bc7094c5f,B,11847,18074
7095fc2e-f94f-4c5b-972e-95d72de521ef,A,9371,17064
7095fc2e-f94f-4c5b-972e-95d72de521ef,B,7276,17495
0a13630a-6e89-4913-acb6-7461d830b1e5,A,20322,19153
0a13630a-6e89-4913-acb6-7461d830b1e5,B,3244,14681
914a3c22-a29f-407b-a264-f245c546a6b6,A,5837,16178
914a3c22-a29f-407b-a264-f245c546a6b6,B,12170,17893
c11bed87-a1fe-44c0-bb06-a5143534e9e3,A,11014,18400
c11bed87-a1fe-44c0-bb06-a5143534e9e3,B,7960,16893
154142f7-b725-4e95-9763-cf62e5338e70,A,13933,18169
154142f7-b725-4e95-9763-cf62e5338e70,B,9545,17707
239df860-ddfc-4111-a700-8a55877f50a8,A,10583,20115
239df860-ddfc-4111-a700-8a55877f50a8,B,7383,17363
91581f53-ed56-4177-abdf-04a6e32a8fbe,A,6665,17041
91581f53-ed56-4177-abdf-04a6e32a8fbe,B,7067,18117
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,A,11802,18700
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,B,9019,18165
d5cddeae-4324-4f65-839b-bd75f47711a7,A,11425,18838
d5cddeae-4324-4f65-839b-bd75f47711a7,B,10760,18704
db668ae1-8fa1-4516-ab53-1364324a34bc,A,6933,16836
db668ae1-8fa1-4516-ab53-1364324a34bc,B,13857,19150
08094364-8a86-44ef-8310-97a7fe364385,A,13475,18409
08094364-8a86-44ef-8310-97a7fe364385,B,3616,14022
6f0aca7a-db6f-4f19-9727-29910a7df16b,A,8858,18808
6f0aca7a-db6f-4f19-9727-29910a7df16b,B,7329,18471
e54b566f-10a3-4165-af12-c2981979719b,A,13994,18328
e54b566f-10a3-4165-af12-c2981979719b,B,6942,15258
05395515-343b-412b-a014-2057cbd10e0d,A,11213,17438
05395515-343b-412b-a014-2057cbd10e0d,B,10060,19098
cb08e101-5de3-4717-9292-274349ea7c0a,A,4812,15185
cb08e101-5de3-4717-9292-274349ea7c0a,B,13082,18785
a6b21338-fd2a-42d2-ade8-78e7c430d26b,A,12997,15063
a6b21338-fd2a-42d2-ade8-78e7c430d26b,B,4578,12447
e5a949d2-f030-4f7f-b6a1-98d2a7f30810,A,7471,16935
e5a949d2-f030-4f7f-b6a1-98d2a7f30810,B,11612,19612
dbd04e24-05ef-463d-bd09-82c0259dcd1b,A,15035,18729
dbd04e24-05ef-463d-bd09-82c0259dcd1b,B,4768,14312
c027a4d6-8cc1-4e39-9e7f-6a04e02127ff,A,6276,17424
c027a4d6-8cc1-4e39-9e7f-6a04e02127ff,B,11764,19510
1fbca2e9-d4f2-45b4-b0e1-a3b20ba0fb30,A,8569,18925
1fbca2e9-d4f2-45b4-b0e1-a3b20ba0fb30,B,10002,19535
4f13c6fc-f6d3-42ac-b804-296331fc82fe,A,11652,19512
4f13c6fc-f6d3-42ac-b804-296331fc82fe,B,5742,17973
97f5ed98-6d2c-4cd2-b50e-a88314851741,A,5185,15244
97f5ed98-6d2c-4cd2-b50e-a88314851741,B,13785,18726
a9b68020-b4ae-42cc-a079-2df5e3a9964b,A,9735,17715
a9b68020-b4ae-42cc-a079-2df5e3a9964b,B,13430,18337
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,A,5866,15484
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,B,7991,19447
a843fcb2-9005-4907-b061-82bf4c704c20,A,13697,19744
a843fcb2-9005-4907-b061-82bf4c704c20,B,5903,15684
4ea1c758-671b-484f-9acc-ddadf50a92ed,A,10833,17228
4ea1c758-671b-484f-9acc-ddadf50a92ed,B,9488,17000
2955bc6f-4840-40b4-89fb-fa254d9e129f,A,7543,18068
2955bc6f-4840-40b4-89fb-fa254d9e129f,B,5285,15605
37e39aa0-8c72-4e0b-aa56-af17072ac25d,A,8778,17054
37e39aa0-8c72-4e0b-aa56-af17072ac25d,B,9009,17322
03a12f03-2ec4-483b-b000-7614dd2c0ce2,A,10380,19937
03a12f03-2ec4-483b-b000-7614dd2c0ce2,B,5404,17037
377fc78f-c1b4-43fc-aa91-9616414c80b3,A,4474,15738
377fc78f-c1b4-43fc-aa91-9616414c80b3,B,13809,19644
687d554b-c3d6-4a23-ad3a-61e0db835ae8,A,6693,16420
