gamehash,team,bank,loadout
a5afd4a3-6569-4fe5-bad0-a9cf137f6886,A,9204,18423
a5afd4a3-6569-4fe5-bad0-a9cf137f6886,B,10148,18281
dd72a2f3-7704-4587-9210-c8bd937184a9,A,8048,15928
dd72a2f3-7704-4587-9210-c8bd937184a9,B,11443,18398
d6f3f977-eeed-4eb7-83b5-06f2ef67198e,A,9167,17815
d6f3f977-eeed-4eb7-83b5-06f2ef67198e,B,10258,18815
301e950b-f625-4b99-b52f-9cf80b022b7d,A,12135,18044
301e950b-f625-4b99-b52f-9cf80b022b7d,B,6648,18104
a9505310-c0f8-4ea8-abd4-46a0ea902117,A,11115,20300
a9505310-c0f8-4ea8-abd4-46a0ea902117,B,6837,17641
b3d60e37-d433-4fbc-9144-1679bd21edf8,A,5418,17095
b3d60e37-d433-4fbc-9144-1679bd21edf8,B,7295,18770
ded43b31-9da3-42e7-bd79-7b7049ca12cc,A,9138,20213
ded43b31-9da3-42e7-bd79-7b7049ca12cc,B,8907,19427
c76532ba-3163-46e8-9744-8ed5d5250d6b,A,11445,18260
c76532ba-3163-46e8-9744-8ed5d5250d6b,B,5586,16076
b82c9a7a-75b2-4c52-81a0-5b930e8183ec,A,9835,18405
b82c9a7a-75b2-4c52-81a0-5b930e8183ec,B,5330,15508
5f52cbaa-4574-4ea7-b512-99efde4ede09,A,9614,19098
5f52cbaa-4574-4ea7-b512-99efde4ede09,B,5840,15945
02f1c259-fc3c-4665-85d1-e374a70f7e42,A,11319,18638
02f1c259-fc3c-4665-85d1-e374a70f7e42,B,7474,16369
00b7dec4-f48b-472c-ac04-26c507089f9c,A,10919,18338
00b7dec4-f48b-472c-ac04-26c507089f9c,B,6421,17673
f7a790fb-3846-4e42-9e71-44ac3431f4e8,A,10348,16818
f7a790fb-3846-4e42-9e71-44ac3431f4e8,B,7739,19180
ee578b2c-80df-43f3-b836-559e9e128f20,A,10931,18074
ee578b2c-80df-43f3-b836-559e9e128f20,B,5883,17614
569b3c70-e8a2-49ce-bb30-7ebc659a5c8b,A,6561,18753
569b3c70-e8a2-49ce-bb30-7ebc659a5c8b,B,6966,17824
56e0e140-9906-481d-a016-28e19b1787cf,A,12285,18278
56e0e140-9906-481d-a016-28e19b1787cf,B,4573,16693
99acd3ba-956b-4c4a-850c-03a4ca66b661,A,4938,15285
99acd3ba-956b-4c4a-850c-03a4ca66b661,B,16959,18638
4b4fe133-9ec6-432f-8bb2-7d97e34dae78,A,7575,18367
4b4fe133-9ec6-432f-8bb2-7d97e34dae78,B,8013,17413
74402d09-dded-44cb-ad70-a6a66dbf9e19,A,6961,13464
74402d09-dded-44cb-ad70-a6a66dbf9e19,B,13979,18986
40ffa727-6ba7-4ed8-bcb2-10da8db349b6,A,7648,18354
40ffa727-6ba7-4ed8-bcb2-10da8db349b6,B,10087,18965
6162323a-c56f-4f11-a2a2-4014c326062d,A,11850,16576
6162323a-c56f-4f11-a2a2-4014c326062d,B,8443,17887
f47645db-103f-437a-a3ec-d8f5819f34cd,A,9363,19523
f47645db-103f-437a-a3ec-d8f5819f34cd,B,6915,18177
08a3ca8f-1835-424d-8cd1-933b65f513e8,A,8210,18152
08a3ca8f-1835-424d-8cd1-933b65f513e8,B,10871,19327
